2024-03-03 11:55:17,995 - INFO - torch_version:2.1.1+cpu
2024-03-03 11:55:19,072 - DEBUG - Epoch 0 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([1.])), ('gpr_list.0.kernel.length_scale', tensor([1.])), ('gpr_list.0.kernel.signal_variance', tensor([1.])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,084 - DEBUG - Epoch 1 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9900])), ('gpr_list.0.kernel.length_scale', tensor([0.9900])), ('gpr_list.0.kernel.signal_variance', tensor([0.9900])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,095 - DEBUG - Epoch 2 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9800])), ('gpr_list.0.kernel.length_scale', tensor([0.9800])), ('gpr_list.0.kernel.signal_variance', tensor([0.9801])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,105 - DEBUG - Epoch 3 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9700])), ('gpr_list.0.kernel.length_scale', tensor([0.9700])), ('gpr_list.0.kernel.signal_variance', tensor([0.9702])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,116 - DEBUG - Epoch 4 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9600])), ('gpr_list.0.kernel.length_scale', tensor([0.9600])), ('gpr_list.0.kernel.signal_variance', tensor([0.9607])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,131 - DEBUG - Epoch 5 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9501])), ('gpr_list.0.kernel.length_scale', tensor([0.9499])), ('gpr_list.0.kernel.signal_variance', tensor([0.9515])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,144 - DEBUG - Epoch 6 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9401])), ('gpr_list.0.kernel.length_scale', tensor([0.9399])), ('gpr_list.0.kernel.signal_variance', tensor([0.9427])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,154 - DEBUG - Epoch 7 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9302])), ('gpr_list.0.kernel.length_scale', tensor([0.9298])), ('gpr_list.0.kernel.signal_variance', tensor([0.9346])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,165 - DEBUG - Epoch 8 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9203])), ('gpr_list.0.kernel.length_scale', tensor([0.9197])), ('gpr_list.0.kernel.signal_variance', tensor([0.9277])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,174 - DEBUG - Epoch 9 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9104])), ('gpr_list.0.kernel.length_scale', tensor([0.9096])), ('gpr_list.0.kernel.signal_variance', tensor([0.9223])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:55:19,184 - DEBUG - Epoch 10 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.9006])), ('gpr_list.0.kernel.length_scale', tensor([0.8994])), ('gpr_list.0.kernel.signal_variance', tensor([0.9188])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
